leg,sess,num,date,pub_date,published_date,notes
12,1,1,2011-06-21,2011-06-21,2011-06-22 / 18:30,DAR I Série n.º 013 (2011-09-01)
12,1,2,2011-06-22,2011-06-22,2011-06-22 / 18:30,DAR I Série n.º 013 (2011-09-01)
12,1,3,2011-07-01,2011-07-01,2011-07-07 / 11:30,DAR I Série n.º 013 (2011-09-01)
12,1,4,2011-07-02,2011-07-02,2011-07-07 / 16:00,DAR I Série n.º 034 (2011-10-22)
12,1,5,2011-07-21,2011-07-21,2011-07-22 / 18:00,DAR I Série n.º 034 (2011-10-22)
12,1,6,2011-07-22,2011-07-22,2011-07-26 / 19:30,DAR I Série n.º 034 (2011-10-22)
12,1,7,2011-07-23,2011-07-23,2011-07-27 / 18:30,DAR I Série n.º 034 (2011-10-22)
12,1,8,2011-07-28,2011-07-28,2011-07-29 / 16:00,DAR I Série n.º 034 (2011-10-22)
12,1,9,2011-07-29,2011-07-29,2011-08-02 / 19:00,DAR I Série n.º 034 (2011-10-22)
12,1,10,2011-07-30,2011-07-30,2011-08-05 / 19:00,DAR I Série n.º 034 (2011-10-22)
12,1,11,2011-08-04,2011-08-04,2011-08-11 / 13:00,DAR I Série n.º 034 (2011-10-22)
12,1,12,2011-08-05,2011-08-05,2011-08-11 / 13:00,DAR I Série n.º 034 (2011-10-22)
12,1,13,2011-09-01,2011-09-01,2011-09-08 / 15:00,DAR I Série n.º 034 (2011-10-22)
12,1,14,2011-09-02,2011-09-02,2011-09-13 / 11:30,DAR I Série n.º 034 (2011-10-22)
12,1,15,2011-09-03,2011-09-03,2011-09-13 / 11:30,DAR I Série n.º 034 (2011-10-22)
12,1,16,2011-09-08,2011-09-08,2011-09-15 / 10:30,DAR I Série n.º 034 (2011-10-22)
12,1,17,2011-09-09,2011-09-09,2011-09-16 / 12:00,DAR I Série n.º 048 (2011-12-10)
12,1,18,2011-09-15,2011-09-15,2011-09-19 / 19:00,DAR I Série n.º 048 (2011-12-10)
12,1,19,2011-09-16,2011-09-16,2011-09-22 / 17:30,DAR I Série n.º 048 (2011-12-10)
