leg,sess,num,date,pub_date,page_start,page_end
1,1,1,1976-06-03,1976-06-04,1,6
1,1,2,1976-06-04,1976-06-05,7,32
1,1,3,1976-06-08,1976-06-09,33,48
1,1,4,1976-06-09,1976-06-10,49,76
1,1,5,1976-07-13,1976-07-14,77,104
1,1,6,1976-07-14,1976-07-15,105,114
1,1,7,1976-07-15,1976-07-16,115,146
1,1,8,1976-07-16,1976-07-17,147,178
1,1,9,1976-07-20,1976-07-21,179,214
1,1,10,1976-07-21,1976-07-22,215,244
1,1,11,1976-07-22,1976-07-23,245,260
1,1,12,1976-07-23,1976-07-24,261,292
1,1,13,1976-07-27,1976-07-28,293,310
1,1,14,1976-07-28,1976-07-29,311,344
1,1,15,1976-07-29,1976-07-30,345,364
1,1,16,1976-07-30,1976-07-31,365,398
1,1,17,1976-08-02,1976-08-03,399,438
1,1,18,1976-08-05,1976-08-06,439,470
1,1,19,1976-08-06,1976-08-07,471,496
1,1,20,1976-08-09,1976-08-10,497,532
1,1,21,1976-08-10,1976-08-11,533,584
1,1,22,1976-08-11,1976-08-12,585,640
1,1,23,1976-08-12,1976-08-13,641,674
1,1,24,1976-08-13,1976-08-14,675,694
1,1,25,1976-10-06,1976-10-07,695,712
1,1,26,1976-10-12,1976-10-13,713,730
1,1,27,1976-10-13,1976-10-14,731,766
1,1,28,1976-10-14,1976-10-15,767,794
1,1,29,1976-10-15,1976-10-16,795,856
1,1,30,1976-10-19,1976-10-20,857,886
1,1,31,1976-10-20,1976-10-21,887,924
1,1,32,1976-10-21,1976-10-22,925,960
1,1,33,1976-10-22,1976-10-23,961,992
1,1,34,1976-10-26,1976-10-27,993,1032
1,1,35,1976-10-27,1976-10-28,1033,1064
1,1,36,1976-10-28,1976-10-29,1065,1098
1,1,37,1976-11-09,1976-11-10,1099,1134
1,1,38,1976-11-10,1976-11-11,1135,1170
1,1,39,1976-11-16,1976-11-17,1171,1210
1,1,40,1976-11-17,1976-11-18,1211,1250
1,1,41,1976-11-18,1976-11-19,1251,1298
1,1,42,1976-11-19,1976-11-20,1299,1326
1,1,43,1976-11-23,1976-11-24,1327,1360
1,1,44,1976-11-24,1976-11-25,1361,1408
1,1,45,1976-11-25,1976-11-26,1409,1446
1,1,46,1976-11-26,1976-11-27,1447,1480
1,1,47,1976-11-29,1976-11-30,1481,1488
1,1,48,1976-11-30,1976-12-02,1489,1530
1,1,49,1976-12-02,1976-12-03,1531,1546
1,1,50,1976-12-03,1976-12-04,1547,1574
1,1,51,1976-12-09,1976-12-10,1575,1612
1,1,52,1976-12-10,1976-12-11,1613,1650
1,1,53,1976-12-14,1976-12-15,1651,1694
1,1,54,1976-12-15,1976-12-16,1695,1730
1,1,55,1976-12-16,1976-12-17,1731,1768
1,1,56,1976-12-17,1976-12-18,1769,1798
1,1,57,1976-12-21,1976-12-22,1799,1830
1,1,58,1976-12-22,1976-12-23,1831,1876
1,1,59,1976-12-26,1976-12-27,1877,1904
1,1,60,1976-12-27,1976-12-28,1905,1956
1,1,61,1976-12-28,1976-12-29,1957,2032
1,1,62,1976-12-29,1976-12-30,2033,2062
1,1,63,1976-12-30,1976-12-31,2063,2094
1,1,64,1977-01-19,1977-01-20,2095,2122
1,1,65,1977-01-20,1977-01-21,2123,2150
1,1,66,1977-01-21,1977-01-22,2151,2180
1,1,67,1977-01-25,1977-01-26,2181,2210
1,1,68,1977-01-27,1977-01-28,2211,2252
1,1,69,1977-01-28,1977-01-29,2253,2280
1,1,70,1977-02-01,1977-02-02,2281,2334
1,1,71,1977-02-03,1977-02-04,2335,2378
1,1,72,1977-02-04,1977-02-05,2379,2410
1,1,73,1977-02-08,1977-02-09,2411,2450
1,1,74,1977-02-10,1977-02-11,2451,2488
1,1,75,1977-02-11,1977-02-12,2489,2522
1,1,76,1977-02-15,1977-02-16,2523,2572
1,1,77,1977-02-17,1977-02-18,2573,2610
1,1,78,1977-02-18,1977-02-19,2611,2646
1,1,79,1977-02-24,1977-02-25,2647,2688
1,1,80,1977-02-25,1977-02-26,2689,2726
1,1,81,1977-03-01,1977-03-02,2727,2758
1,1,82,1977-03-04,1977-03-05,2759,2792
1,1,83,1977-03-08,1977-03-09,2793,2826
1,1,84,1977-03-10,1977-03-11,2827,2860
1,1,85,1977-03-11,1977-03-12,2861,2890
1,1,86,1977-03-16,1977-03-17,2893,2930
1,1,87,1977-03-17,1977-03-18,2931,3010
1,1,88,1977-03-18,1977-03-19,3011,3034
1,1,89,1977-03-22,1977-03-23,3035,3062
1,1,90,1977-03-24,1977-03-25,3063,3094
1,1,91,1977-03-25,1977-03-26,3095,3112
1,1,92,1977-03-30,1977-03-31,3113,3134
1,1,93,1977-03-31,1977-04-01,3135,3174
1,1,94,1977-04-01,1977-04-02,3175,3202
1,1,95,1977-04-03,1977-04-04,3203,3220
1,1,96,1977-04-15,1977-04-16,3221,3252
1,1,97,1977-04-19,1977-04-20,3253,3282
1,1,98,1977-04-21,1977-04-22,3283,3312
1,1,99,1977-04-22,1977-04-23,3313,3354
1,1,100,1977-04-25,1977-04-26,3355,3374
1,1,101,1977-04-26,1977-04-27,3375,3410
1,1,102,1977-04-28,1977-04-29,3411,3454
1,1,103,1977-04-29,1977-04-30,3455,3490
1,1,104,1977-05-03,1977-05-04,3491,3534
1,1,105,1977-05-05,1977-05-06,3535,3584
1,1,106,1977-05-06,1977-05-07,3585,3620
1,1,107,1977-05-10,1977-05-11,3621,3660
1,1,108,1977-05-12,1977-05-13,3661,3700
1,1,109,1977-05-13,1977-05-14,3701,3720
1,1,110,1977-05-17,1977-05-18,3721,3756
1,1,111,1977-05-19,1977-05-20,3757,3786
1,1,112,1977-05-20,1977-05-21,3787,3814
1,1,113,1977-05-26,1977-05-27,3815,3838
1,1,114,1977-05-27,1977-05-28,3839,3872
1,1,115,1977-05-31,1977-06-01,3873,3910
1,1,116,1977-06-02,1977-06-03,3911,3944
1,1,117,1977-06-03,1977-06-04,3945,3980
1,1,118,1977-06-07,1977-06-08,3981,4020
1,1,119,1977-06-14,1977-06-15,4021,4056
1,1,120,1977-06-15,1977-06-16,4057,4130
1,1,121,1977-06-27,1977-06-28,4131,4160
1,1,122,1977-06-28,1977-06-29,4161,4200
1,1,123,1977-06-29,1977-06-30,4201,4264
1,1,124,1977-06-30,1977-07-01,4265,4314
1,1,125,1977-07-01,1977-07-02,4315,4352
1,1,126,1977-07-07,1977-07-08,4353,4394
1,1,127,1977-07-08,1977-07-09,4395,4456
1,1,128,1977-07-11,1977-07-12,4457,4492
1,1,129,1977-07-12,1977-07-13,4493,4550
1,1,130,1977-07-13,1977-07-14,4551,4562
1,1,131,1977-07-18,1977-07-19,4563,4606
1,1,132,1977-07-19,1977-07-20,4607,4668
1,1,133,1977-07-20,1977-07-21,4669,4730
1,1,134,1977-07-21,1977-07-22,4731,4824
1,1,135,1977-07-25,1977-07-26,4825,4860
1,1,136,1977-07-27,1977-07-28,4861,4926
1,1,136S,1977-07-27,1977-07-28,1,34
1,1,137,1977-07-28,1977-07-29,4927,4962
1,1,138,1977-07-29,1977-07-30,4963,5058
