sess,page_end,leg,number,page_start,session_date,pub_date,id
1,16,1,1,1,2011-06-20 00:00:00,2011-06-21 00:00:00,l01s01n001
1,16,1,2,1,2011-06-21 00:00:00,2011-06-22 00:00:00,l01s01n002
1,84,1,3,1,2011-06-30 00:00:00,2011-07-01 00:00:00,l01s01n003
1,73,1,4,1,2011-07-01 00:00:00,2011-07-02 00:00:00,l01s01n004
1,40,1,5,1,2011-07-20 00:00:00,2011-07-21 00:00:00,l01s01n005
1,58,1,6,1,2011-07-21 00:00:00,2011-07-22 00:00:00,l01s01n006
1,40,1,7,1,2011-07-22 00:00:00,2011-07-23 00:00:00,l01s01n007
1,33,1,8,1,2011-07-27 00:00:00,2011-07-28 00:00:00,l01s01n008
1,45,1,9,1,2011-07-28 00:00:00,2011-07-29 00:00:00,l01s01n009
1,64,1,10,1,2011-07-29 00:00:00,2011-07-30 00:00:00,l01s01n010
1,68,1,11,1,2011-08-03 00:00:00,2011-08-04 00:00:00,l01s01n011
1,6,1,12,1,2012-10-13 00:00:00,2012-10-13 00:00:00,l01s01n012
1,57,1,13,1,2011-08-31 00:00:00,2011-09-01 00:00:00,l01s01n013
1,58,1,14,1,2011-09-01 00:00:00,2011-09-02 00:00:00,l01s01n014
1,55,1,15,1,2011-09-02 00:00:00,2011-09-03 00:00:00,l01s01n015
1,69,1,16,1,2011-09-07 00:00:00,2011-09-08 00:00:00,l01s01n016
1,76,1,17,1,2011-09-08 00:00:00,2011-09-09 00:00:00,l01s01n017
1,36,1,18,1,2011-09-14 00:00:00,2011-09-15 00:00:00,l01s01n018
1,74,1,19,1,2011-09-15 00:00:00,2011-09-16 00:00:00,l01s01n019
1,59,1,20,1,2011-09-16 00:00:00,2011-09-17 00:00:00,l01s01n020
1,41,1,21,1,2011-09-21 00:00:00,2011-09-22 00:00:00,l01s01n021
1,69,1,22,1,2011-09-22 00:00:00,2011-09-23 00:00:00,l01s01n022
1,68,1,23,1,2011-09-23 00:00:00,2011-09-24 00:00:00,l01s01n023
1,40,1,24,1,2011-09-28 00:00:00,2011-09-29 00:00:00,l01s01n024
1,71,1,25,1,2011-09-29 00:00:00,2011-09-30 00:00:00,l01s01n025
1,50,1,26,1,2011-09-30 00:00:00,2011-10-01 00:00:00,l01s01n026
1,62,1,27,1,2011-10-06 00:00:00,2011-10-07 00:00:00,l01s01n027
1,42,1,28,1,2011-10-07 00:00:00,2011-10-08 00:00:00,l01s01n028
1,48,1,29,1,2011-10-12 00:00:00,2011-10-13 00:00:00,l01s01n029
1,54,1,30,1,2011-10-13 00:00:00,2011-10-14 00:00:00,l01s01n030
1,41,1,31,1,2011-10-14 00:00:00,2011-10-15 00:00:00,l01s01n031
1,68,1,32,1,2011-10-19 00:00:00,2011-10-20 00:00:00,l01s01n032
1,22,1,33,1,2011-10-20 00:00:00,2011-10-21 00:00:00,l01s01n033
1,51,1,34,1,2011-10-21 00:00:00,2011-10-22 00:00:00,l01s01n034
1,51,1,35,1,2011-10-26 00:00:00,2011-10-27 00:00:00,l01s01n035
1,44,1,36,1,2011-10-27 00:00:00,2011-10-28 00:00:00,l01s01n036
1,64,1,37,1,2011-10-28 00:00:00,2011-10-29 00:00:00,l01s01n037
1,56,1,38,1,2011-11-04 00:00:00,2011-11-05 00:00:00,l01s01n038
1,123,1,39,1,2011-11-10 00:00:00,2011-11-11 00:00:00,l01s01n039
1,81,1,40,1,2011-11-11 00:00:00,2011-12-12 00:00:00,l01s01n040
1,30,1,41,1,2011-11-22 00:00:00,2011-11-23 00:00:00,l01s01n041
1,61,1,42,1,2011-11-25 00:00:00,2011-11-26 00:00:00,l01s01n042
1,67,1,43,1,2011-11-28 00:00:00,2011-11-29 00:00:00,l01s01n043
1,70,1,44,1,2011-11-29 00:00:00,2011-11-30 00:00:00,l01s01n044
1,54,1,45,1,2011-11-30 00:00:00,2011-12-02 00:00:00,l01s01n045
1,51,1,46,1,2011-12-02 00:00:00,2011-12-03 00:00:00,l01s01n046
1,65,1,47,1,2011-12-07 00:00:00,2011-12-09 00:00:00,l01s01n047
1,68,1,48,1,2011-12-09 00:00:00,2011-12-10 00:00:00,l01s01n048
1,34,1,49,1,2011-12-14 00:00:00,2011-12-15 00:00:00,l01s01n049
1,82,1,50,1,2011-12-15 00:00:00,2011-12-16 00:00:00,l01s01n050
1,47,1,51,1,2011-12-16 00:00:00,2011-12-17 00:00:00,l01s01n051
1,71,1,52,1,2011-12-21 00:00:00,2011-12-22 00:00:00,l01s01n052
1,57,1,53,1,2011-12-22 00:00:00,2011-12-23 00:00:00,l01s01n053
1,70,1,54,1,2012-01-04 00:00:00,2012-01-05 00:00:00,l01s01n054
1,60,1,55,1,2012-01-05 00:00:00,2012-01-06 00:00:00,l01s01n055
1,44,1,56,1,2012-01-06 00:00:00,2012-01-07 00:00:00,l01s01n056
1,67,1,57,1,2012-01-11 00:00:00,2012-01-12 00:00:00,l01s01n057
1,63,1,58,1,2012-01-12 00:00:00,2012-01-13 00:00:00,l01s01n058
1,43,1,59,1,2012-01-13 00:00:00,2012-01-14 00:00:00,l01s01n059
1,47,1,60,1,2012-01-18 00:00:00,2012-01-19 00:00:00,l01s01n060
1,76,1,61,1,2012-01-19 00:00:00,2012-01-20 00:00:00,l01s01n061
1,55,1,62,1,2012-01-20 00:00:00,2012-01-21 00:00:00,l01s01n062
1,44,1,63,1,2012-01-25 00:00:00,2012-01-26 00:00:00,l01s01n063
1,48,1,64,1,2012-01-26 00:00:00,2012-01-27 00:00:00,l01s01n064
1,50,1,65,1,2012-01-27 00:00:00,2012-01-28 00:00:00,l01s01n065
1,58,1,66,1,2012-02-01 00:00:00,2012-02-02 00:00:00,l01s01n066
1,58,1,67,1,2012-02-02 00:00:00,2012-02-03 00:00:00,l01s01n067
1,48,1,68,1,2012-02-03 00:00:00,2012-02-04 00:00:00,l01s01n068
1,41,1,69,1,2012-02-08 00:00:00,2012-02-09 00:00:00,l01s01n069
1,51,1,70,1,2012-02-09 00:00:00,2012-02-10 00:00:00,l01s01n070
1,60,1,71,1,2012-02-10 00:00:00,2012-02-11 00:00:00,l01s01n071
1,35,1,72,1,2012-02-15 00:00:00,2012-02-16 00:00:00,l01s01n072
1,54,1,73,1,2012-02-16 00:00:00,2012-02-17 00:00:00,l01s01n073
1,46,1,74,1,2012-02-17 00:00:00,2012-02-18 00:00:00,l01s01n074
1,54,1,75,1,2012-02-22 00:00:00,2012-02-23 00:00:00,l01s01n075
1,53,1,76,1,2012-02-23 00:00:00,2012-02-24 00:00:00,l01s01n076
1,56,1,77,1,2012-02-24 00:00:00,2012-02-25 00:00:00,l01s01n077
1,60,1,78,1,2012-02-29 00:00:00,2012-03-01 00:00:00,l01s01n078
1,47,1,79,1,2012-03-01 00:00:00,2012-03-02 00:00:00,l01s01n079
1,46,1,80,1,2012-03-02 00:00:00,2012-03-03 00:00:00,l01s01n080
1,28,1,81,1,2012-03-07 00:00:00,2012-03-08 00:00:00,l01s01n081
1,63,1,82,1,2012-03-08 00:00:00,2012-03-09 00:00:00,l01s01n082
1,63,1,83,1,2012-03-09 00:00:00,2012-03-10 00:00:00,l01s01n083
1,51,1,84,1,2012-03-14 00:00:00,2012-03-15 00:00:00,l01s01n084
1,65,1,85,1,2012-03-15 00:00:00,2012-03-16 00:00:00,l01s01n085
1,54,1,86,1,2012-03-16 00:00:00,2012-03-17 00:00:00,l01s01n086
1,46,1,87,1,2012-03-21 00:00:00,2012-03-22 00:00:00,l01s01n087
1,66,1,88,1,2012-03-22 00:00:00,2012-03-23 00:00:00,l01s01n088
1,60,1,89,1,2012-03-28 00:00:00,2012-03-29 00:00:00,l01s01n089
